"GEOID","Total","Hispanic","pct_Hispanic"
"040130610383",1660,1449,0.87289156626506
"040130610391",2095,1717,0.819570405727924
"040130610392",594,533,0.897306397306397
"040130610393",1807,1462,0.809075816270061
"040130610401",1815,1314,0.72396694214876
"040130610402",918,648,0.705882352941177
"040130610403",1676,956,0.570405727923628
"040130610411",939,510,0.543130990415335
"040130610412",929,556,0.598493003229279
"040130610413",2217,1368,0.617050067658999
"040130610414",463,284,0.613390928725702
"040130610421",224,199,0.888392857142857
"040130610422",372,372,1
"040130610423",299,276,0.923076923076923
"040130610424",1196,599,0.500836120401338
"040130610431",1362,879,0.645374449339207
"040130610432",1316,813,0.617781155015198
"040130610441",2794,2309,0.826413743736578
"040130610442",2884,2046,0.709431345353675
"040130610443",1966,1661,0.844862665310275
"040130610451",2112,1720,0.814393939393939
"040130610452",1932,1765,0.913561076604555
"040130610453",1785,1255,0.703081232492997
"040130610461",1457,1068,0.733013040494166
"040130610462",4375,2986,0.682514285714286
"040130610471",3076,2299,0.74739921976593
"040130610472",452,307,0.679203539823009
"040130611001",743,705,0.94885598923284
"040130611002",480,409,0.852083333333333
"040130611003",1470,1102,0.749659863945578
"040130612001",1643,783,0.476567255021302
"040130612002",1196,229,0.191471571906355
"040130612003",1927,652,0.338349766476388
"040130612004",1461,168,0.114989733059548
"040130613001",1936,740,0.382231404958678
"040130614011",930,140,0.150537634408602
"040130614012",1051,262,0.249286393910561
"040130614021",1627,333,0.204671173939766
"040130614022",1793,343,0.191299498047964
"040130614023",2097,793,0.378159275154983
"040130715031",722,663,0.918282548476454
"040130715032",881,865,0.981838819523269
"040130715033",697,697,1
"040130715034",2557,2547,0.996089166992569
"040130715041",774,745,0.962532299741602
"040130715042",943,927,0.983032873806999
"040130715043",462,462,1
"040130715044",1261,1261,1
"040130715051",2581,2309,0.894614490507555
"040130715052",710,682,0.96056338028169
"040130715053",1567,1427,0.910657306955967
"040130715054",1855,1760,0.948787061994609
"040130715061",972,953,0.980452674897119
"040130715062",1582,1505,0.951327433628319
"040130715063",777,748,0.962676962676963
"040130715064",875,754,0.861714285714286
"040130715091",1927,1573,0.816294758692268
"040130715092",1468,1396,0.950953678474114
"040130715093",931,832,0.893662728249194
"040130715094",1961,1817,0.926568077511474
"040130715101",1873,1697,0.906033101975441
"040130715102",1201,1097,0.913405495420483
"040130715103",1006,806,0.801192842942346
"040130715111",2942,2479,0.842624065261727
"040130715112",747,715,0.957161981258367
"040130715121",1456,1240,0.851648351648352
"040130715122",1244,1230,0.988745980707395
"040130715123",1498,1381,0.921895861148198
"040130715124",2157,1500,0.695410292072323
"040130715131",780,621,0.796153846153846
"040130715132",823,731,0.888213851761847
"040130715141",641,562,0.876755070202808
"040130715142",1474,1314,0.891451831750339
"040130715143",2098,1761,0.839370829361296
"040130715151",825,682,0.826666666666667
"040130715152",885,769,0.868926553672316
"040130715153",1784,1518,0.850896860986547
"040130715161",1881,1718,0.913343965975545
"040130715162",1204,1133,0.941029900332226
"040130715171",1338,1081,0.807922272047833
"040130715172",776,586,0.755154639175258
"040130715173",1797,1463,0.814134668892599
"040130716001",2067,1567,0.758103531688437
"040130716002",1706,901,0.528135990621336
"040130717011",2944,2451,0.832540760869565
"040130717021",571,571,1
"040130717022",701,701,1
"040130717023",648,637,0.983024691358025
"040130717024",593,484,0.816188870151771
"040130717025",410,410,1
"040130718011",1427,1331,0.932725998598458
"040130718012",429,429,1
"040130718013",994,994,1
"040130718014",500,500,1
"040130718015",658,594,0.90273556231003
